label,n,d,T,j,true,est,bias,q0,q1,bstd,covered,time
ours,50,3,100,0,-0.26267668028286395,-0.31459731977233835,-0.051920639489474396,-0.38816958725348444,-0.25098938788905395,0.04203004625358477,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.20606073339256403,0.05661594689029992,-0.3074895605508594,-0.13876116064413668,0.0456341372878663,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29985091219220894,-0.03717423190934499,-0.412515265263188,-0.20227713694218322,0.056530155868669704,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.26072355403918407,0.0019531262436798813,-0.34990059140222834,-0.19434143606504675,0.041615627303031706,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2673953717991148,-0.0047186915162508725,-0.36219284472663577,-0.1598593755563916,0.05644343403747164,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24336304580045295,0.019313634482410996,-0.3070788789051089,-0.17414565913951194,0.03435313627799788,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2712750387436806,-0.008598358460816635,-0.3506443535618893,-0.1822152244300674,0.045694015187509984,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2512988637553176,0.011377816527546325,-0.3455943618605003,-0.17495349370166421,0.045615485418430426,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.20566084484442215,0.0570158354384418,-0.28368906348409617,-0.13206608006461018,0.040150275832765446,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.32573937532327313,-0.06306269504040918,-0.418590159600385,-0.24289717665418326,0.047867175845716814,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23277842467892318,0.02989825560394077,-0.3101324728620815,-0.1525861966529722,0.04062736839161217,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22023658365132887,0.042440096631535085,-0.31138127920547837,-0.14891725705243952,0.04154944879653433,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27774438280879493,-0.015067702525930982,-0.3607351427648842,-0.19361541063477108,0.042530824186006,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3038129998046033,-0.04113631952173935,-0.3765790399755966,-0.22763024851160032,0.04070892839798627,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2575974304303915,0.005079249852472434,-0.3389556681431243,-0.19710098122715922,0.04036277552580053,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2691830026111712,-0.006506322328307224,-0.343503269008366,-0.20203253062404825,0.03793167428380951,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27274138164659245,-0.010064701363728501,-0.35387799115495483,-0.1880197917808774,0.04098445780650162,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2918240431656134,-0.02914736288274944,-0.3811807917121676,-0.2132484697620838,0.04868496089251117,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3211631703555628,-0.05848649007269885,-0.4097098490162311,-0.25126380676926263,0.03840715140108577,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2679602164791141,-0.00528353619625016,-0.36733396330596885,-0.18090709593497684,0.04956758707631283,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2591104140583984,0.003566266224465542,-0.33279934266979694,-0.1879031449055536,0.0394354515417541,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2636028553144766,-0.0009261750316126305,-0.3572885272370044,-0.19307698093287368,0.0429037968655178,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3358766453500295,-0.07319996506716553,-0.4023269002861581,-0.2641591293759539,0.03424978251156712,False,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25433762447766606,0.008339055805197892,-0.31584594664987875,-0.185145529597416,0.03316261877955122,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23998306699202615,0.0226936132908378,-0.3028670728637344,-0.16450402245596643,0.03760031984970616,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23618521478545212,0.026491465497411826,-0.32286039224294144,-0.16032453337755598,0.04066408117618257,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22616433435724806,0.03651234592561589,-0.30869385699485385,-0.15648761390901206,0.04215898020585889,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.31415923824896375,-0.051482557966099796,-0.4043608502991772,-0.2261156314831245,0.04677855824535692,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29433292799703525,-0.031656247714171304,-0.36562220243284993,-0.22847339526892058,0.03725191811323082,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29177459196997857,-0.02909791168711462,-0.3715686005528869,-0.20696479069255214,0.04550809096785275,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.32180807603853734,-0.05913139575567339,-0.40737559831771814,-0.25496888702425435,0.04069615814709127,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24789169352584556,0.014784986757018392,-0.3456222957512861,-0.1850803349830377,0.04108339485770791,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.21379423174608092,0.04888244853678303,-0.2725155507513401,-0.16252457537017828,0.03220996865369694,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3156747016058814,-0.05299802132301745,-0.3999755875196979,-0.22103205511055898,0.0470939262868476,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22054114025901478,0.04213554002384917,-0.30036308613307844,-0.14610335645826017,0.041266209369537794,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23606078069592265,0.0266158995869413,-0.33386295361442464,-0.1682658192043711,0.044038272724785006,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.20680577574845155,0.0558709045344124,-0.2892438671174815,-0.1507080134310357,0.03641833295445594,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2871630911616157,-0.024486410878751752,-0.36994485796740434,-0.21680287146563132,0.03958089281816192,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2857353606884377,-0.02305868040557374,-0.34757125797170957,-0.23650527793246845,0.03189342828008639,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.32767566464306097,-0.06499898436019702,-0.40253654452280263,-0.2376640345798568,0.0460021511071559,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.17635427469092663,0.08632240559193732,-0.25878322219703503,-0.11320336232948058,0.03681261066109113,False,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2736769313416305,-0.011000251058766564,-0.32872141402810795,-0.18331071645279867,0.038429045393219514,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2248049695574562,0.03787171072540774,-0.3105891731845497,-0.13139440224173088,0.047328727874478164,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.28973544524475003,-0.027058764961886084,-0.3847976186693213,-0.20263909239629285,0.04734148717457903,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24755653526576746,0.015120145017096492,-0.316846580378655,-0.1690474465556043,0.03994983868219744,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2492723276606847,0.01340435262217926,-0.30038939005790655,-0.17963273060746923,0.03239597452387517,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2862669489380065,-0.023590268655142577,-0.37143470847211346,-0.21133075738191556,0.04197270460233016,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22315683752690427,0.03951984275595968,-0.2996162594350734,-0.1606813420594822,0.03903117559501844,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2497491287387429,0.012927551544121063,-0.3324391597918034,-0.16319412012487716,0.04421817533509742,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23339435036853806,0.02928232991432589,-0.3436465487230827,-0.15542263937757947,0.049714869395919195,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27928575686778584,-0.01660907658492189,-0.36980094018440396,-0.201258521236953,0.04456718740215649,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.31364283378418795,-0.050966153501323996,-0.4104777871263529,-0.2112010666390573,0.05413288105297173,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.26449574523789154,-0.001819064955027594,-0.3890669258091833,-0.1555107354608851,0.056271577511026856,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23857818980548223,0.024098490477381718,-0.32033688656551895,-0.15523723099253778,0.04622894021167708,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2729511388439445,-0.010274458561080557,-0.3554149729365772,-0.1890530752037234,0.042402922658851025,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.31989090424697264,-0.05721422396410869,-0.38430869521777367,-0.26640481934607685,0.03280154682293528,False,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23464371182758287,0.028032968455281082,-0.3138585863813296,-0.1617215393164471,0.03837099091649013,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23001138428361437,0.03266529599924958,-0.2945509918100543,-0.16715738632739724,0.034289236258020335,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25114623162940347,0.011530448653460479,-0.3386413144730592,-0.19044261653512531,0.03870055202334579,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23062382518388472,0.03205285509897923,-0.30289764254287566,-0.15165678418768636,0.040287383746457066,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22506387284571674,0.037612807437147205,-0.30993430912119124,-0.16233946688401446,0.040718433588235306,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.26211936166812777,0.0005573186147361797,-0.3342100704622547,-0.19716733761923716,0.03643109600335072,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2315000924672101,0.031176587815653856,-0.3078214442743167,-0.15398806594696188,0.04095584759948748,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2894690977249203,-0.02679241744205635,-0.39366487074352513,-0.16418425095787134,0.05856532444040905,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25833946540622194,0.004337214876642015,-0.33599765452070013,-0.18395726642151866,0.03919272050120397,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3459488822715743,-0.08327220198871033,-0.43267004492299904,-0.2823267061129123,0.0413369808039148,False,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25923408755894595,0.003442592723918003,-0.33325380518310205,-0.18527416420985005,0.04021847182519952,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23246578799526163,0.03021089228760232,-0.2913056372075106,-0.16093198417226673,0.03562111661185211,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24146605246065422,0.021210627822209727,-0.34192601327611366,-0.152826338098229,0.048807042155316616,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2972317269701913,-0.03455504668732734,-0.39120399565719477,-0.21037670270862593,0.043861880248956354,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3120552307869963,-0.04937855050413237,-0.42279733757609417,-0.23349315803872842,0.047848832033643034,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.261515940292132,0.0011607399907319627,-0.3422544425464677,-0.1705887981167224,0.04626429756557203,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.30268579942352797,-0.04000911914066402,-0.4032112417858733,-0.21884638242444499,0.049768667625987986,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29900479429886245,-0.0363281140159985,-0.3902550257979265,-0.21665790557875308,0.04676022806649328,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27441570554643424,-0.01173902526357029,-0.35934177044958254,-0.19328459971397777,0.04248999890523044,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23711936650748988,0.02555731377537407,-0.32570739505012153,-0.16823492164856313,0.04035269327552083,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2565791700435054,0.006097510239358561,-0.33088101824646443,-0.1474450103731667,0.04791810146615975,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22484922245114947,0.037827457831714484,-0.2859528206800321,-0.16084914192664715,0.03411825791706578,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27367962225760045,-0.011002941974736502,-0.36169342046334546,-0.20512373097360986,0.03929728597561813,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.29047632273766444,-0.02779964245480049,-0.3777224284357545,-0.20432197076252673,0.04345647321893381,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23620238862472115,0.0264742916581428,-0.29971376763027807,-0.16979362164450226,0.036675544115003456,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25592682689242446,0.006749853390439486,-0.31902766390891624,-0.18597614735216664,0.038732167518603325,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27874850037916615,-0.016071820096302203,-0.35361043744079934,-0.22246145388354396,0.034086394574201,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24323287430699292,0.01944380597587103,-0.3320746571858167,-0.1596438501315022,0.03941522961390063,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25414475305002476,0.008531927232839187,-0.3298939044905527,-0.16955666156569624,0.04440566590767258,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.23422522650831357,0.028451453774550384,-0.3027505780184362,-0.16188833980921488,0.036492949584477435,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3091002097440194,-0.046423529461155466,-0.41003460609619036,-0.199496879567927,0.05136630241598705,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27406673003050314,-0.011390049747639186,-0.36094088279381353,-0.195247155710674,0.04279663651690911,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24706882656694346,0.015607853715920494,-0.31919956311595427,-0.17984744318606907,0.038120446388648754,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2444087854827225,0.01826789480014146,-0.31571655138399835,-0.15288197317507246,0.04055123472928723,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2060682409665368,0.05660843931632714,-0.29712766997098344,-0.138568764713593,0.04203241009730502,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3253592723602814,-0.06268259207741744,-0.41490017442753857,-0.2425936421565079,0.04814372735813444,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2859138041296259,-0.023237123846761965,-0.3740781714654046,-0.2062184120196375,0.04569241101461014,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2798629781724767,-0.017186297889612734,-0.36590307619809476,-0.20215784897026787,0.043939613833860615,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.33893693886102294,-0.07626025857815899,-0.4356171520197541,-0.2516912781060335,0.050109611268150736,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2719425699862773,-0.009265889703413355,-0.3496163099739879,-0.19606781028876163,0.04053479403341727,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2821747547988853,-0.01949807451602137,-0.371275748625557,-0.2190129568041328,0.04134721927795468,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.265093069455734,-0.0024163891728700704,-0.36598213557876746,-0.17433364199601004,0.045084391162816054,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2479319234097378,0.014744756873126152,-0.32011626974648993,-0.18106829356149257,0.0392193382725454,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2303189254319055,0.03235775485095846,-0.3209768457184797,-0.14318010143232612,0.04559860587286351,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.25796534535606397,0.0047113349267999816,-0.3308245484934543,-0.18919915884786948,0.04016822035076785,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3039314037399026,-0.04125472345703862,-0.38770742235621447,-0.2167346623750565,0.047954678449743625,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24931482896578033,0.013361851317083617,-0.31921184471416575,-0.16708212852526752,0.043788213691709474,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.17192780461497992,0.09074887566788403,-0.2506506947773627,-0.11965462785925003,0.035756420088749,False,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22782992593347234,0.03484675434939161,-0.32062662486002835,-0.1499701500364032,0.04485252299178213,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.21404306736904308,0.04863361291382087,-0.2816268205006688,-0.13222528736503952,0.03805183228557315,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3068205456445857,-0.04414386536172177,-0.39686456818853516,-0.23735190798106762,0.041776090300210275,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2625008451153494,0.00017583516751457084,-0.3443745219423189,-0.1949482798045262,0.03883070607459898,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2554603785139304,0.007216301768933564,-0.33453815954674565,-0.16629106814093697,0.046784532643663314,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.22286028407115965,0.0398163962117043,-0.28959894423237326,-0.14252002330728442,0.038892910947418785,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.27558406519449047,-0.012907384911626518,-0.34788491825680506,-0.1782186151275422,0.04188109646851117,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.30819154056447884,-0.04551486028161489,-0.37793006750180064,-0.22945939737249935,0.03733831786506806,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2375678392146801,0.02510884106818384,-0.311326773752635,-0.1753699652814015,0.035617851251447716,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2398370592224431,0.02283962106042084,-0.30561620232927555,-0.1603948534476998,0.03962271921256972,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.26483747015413484,-0.002160789871270885,-0.368681115549468,-0.18822898219811834,0.041232564752747836,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24341422989254338,0.019262450390320568,-0.30796727196137996,-0.15439039607794525,0.040060844582282,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2644028946633649,-0.0017262143805009678,-0.33299521895163514,-0.1923676049643468,0.03743419199778813,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.24827315090667684,0.014403529376187107,-0.3392693878798704,-0.16909669129948146,0.046733505083564775,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3130124104134847,-0.05033573013062076,-0.38760405949365145,-0.250243814191822,0.039529215646206484,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2626240708182448,5.260946461915772e-05,-0.3514506164765655,-0.18349467826441362,0.04693187275353891,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.2049009919901001,0.05777568829276386,-0.28839315459434134,-0.13906953501745742,0.04035242327146219,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.3089825604591283,-0.04630588017626436,-0.3966181353269978,-0.22548112564475387,0.04567648691847352,True,11982.835673570633
ours,50,3,100,0,-0.26267668028286395,-0.1840216388517892,0.07865504143107474,-0.2739183052511524,-0.10224651620176815,0.044218919714210075,True,11982.835673570633
