label,n,d,T,j,est,true,bias,q0,q1,bstd,covered,singleW,time
ours,100,3,10,0,0.06306008790113445,0.06479648110442306,-0.001736393203288611,-0.03266719217863401,0.2056941302750597,0.06183813525402546,True,False,50075.327996730804
ours,100,3,10,0,0.1014043391983245,0.06479648110442306,0.03660785809390145,-0.05066028824601336,0.24003133196876345,0.07218644882665089,True,False,50075.327996730804
ours,100,3,10,0,0.011671456636710112,0.06479648110442306,-0.053125024467712945,-0.12295475502735566,0.11401302457296558,0.062147944306186045,True,False,50075.327996730804
ours,100,3,10,0,0.027517666527946995,0.06479648110442306,-0.03727881457647606,-0.08609984190874627,0.1656252523503304,0.06734524358979459,True,False,50075.327996730804
ours,100,3,10,0,0.15458752630130604,0.06479648110442306,0.08979104519688298,0.03060318977760856,0.2658610412149754,0.06437925808259132,True,False,50075.327996730804
ours,100,3,10,0,0.07419404307455989,0.06479648110442306,0.00939756197013683,-0.049630795607913954,0.2427042388528043,0.07175998172741752,True,False,50075.327996730804
ours,100,3,10,0,0.07482711901479452,0.06479648110442306,0.010030637910371468,-0.04073193697398949,0.20229640535411514,0.06864622058641204,True,False,50075.327996730804
ours,100,3,10,0,0.09941287296033348,0.06479648110442306,0.03461639185591042,-0.03987856587855511,0.23950367049148158,0.0705896550346118,True,False,50075.327996730804
ours,100,3,10,0,0.14282643351968222,0.06479648110442306,0.07802995241525916,-0.023369162871990076,0.30659632146284777,0.08959576811267823,True,False,50075.327996730804
ours,100,3,10,0,0.07959413586515172,0.06479648110442306,0.014797654760728668,-0.027126783393538065,0.21493021997700343,0.06658826274112492,True,False,50075.327996730804
ours,100,3,10,0,0.12698176775684003,0.06479648110442306,0.062185286652416974,-0.004000616157909134,0.21184871226236626,0.05674973146780135,True,False,50075.327996730804
ours,100,3,10,0,0.08598241504477959,0.06479648110442306,0.021185933940356533,-0.024330509643580606,0.19599154153109544,0.057930045036169685,True,False,50075.327996730804
ours,100,3,10,0,0.05216934098083102,0.06479648110442306,-0.012627140123592034,-0.10602507162938786,0.1922911440175093,0.07036480420254991,True,False,50075.327996730804
ours,100,3,10,0,0.0844426273703359,0.06479648110442306,0.019646146265912837,-0.043017238157233746,0.20380430129623067,0.06647466547007501,True,False,50075.327996730804
ours,100,3,10,0,-0.0013551634666273931,0.06479648110442306,-0.06615164457105045,-0.12772206698860564,0.11847799204876219,0.06410029952598403,True,False,50075.327996730804
ours,100,3,10,0,0.07439025589070451,0.06479648110442306,0.009593774786281456,-0.025045513070224366,0.18503099700646797,0.05861589558907736,True,False,50075.327996730804
ours,100,3,10,0,0.06354241055660392,0.06479648110442306,-0.0012540705478191333,-0.0626418970371398,0.17865212405925388,0.0665491716473872,True,False,50075.327996730804
